field_name,dtype,unit,model_role,nullable,normalization,description
dataset_version,string,-,identifier,0,none,Версия схемы синтетического корпуса.
snapshot_id,string,-,identifier,0,none,Уникальный идентификатор временного среза.
session_id,string,-,group_key,0,none,Идентификатор прохождения; разбиение выполняется только целыми сессиями.
split,category,-,split_key,0,none,Готовое разбиение train/validation/test по session_id.
is_synthetic,int8,0/1,audit_only,0,none,1 для синтетических данных; не является признаком.
random_seed,int32,-,audit_only,0,none,Seed сессии для полного воспроизведения.
sim_time_s,int32,s,context_feature,0,divide by 3900 or StandardScaler on train,Симуляционное время от начала сквозного сценария.
snapshot_interval_s,int16,s,audit_only,0,none,Шаг снимков состояния; 5 секунд.
scenario_id,category,-,grouping_only,0,one-hot only in multi-scenario model,Идентификатор сквозного сценария ЭЛОУ-АВТ.
scenario_version,string,-,audit_only,0,none,Версия сценария и правил генерации.
stage_code,category,-,context_feature,0,one-hot or native categorical,Текущий технологический этап сценария.
scenario_progress_ratio,float32,0..1,context_feature,0,already normalized,Доля пройденного времени сценария.
difficulty_level,int8,1..3,context_feature,0,ordinal unchanged,"Уровень сложности: скорость развития, помехи, подсказки и дедлайн."
operator_profile,category,-,audit_only,0,exclude: synthetic generator latent variable,Синтетический профиль поведения оператора.
disturbance_cause,category,-,audit_only,0,exclude: hidden root-cause leakage,Скрытая первопричина снижения расхода.
disturbance_target_branch,int8,1..3,audit_only,0,exclude: hidden scenario configuration,"Ветвь, в которой развивается скрытое возмущение."
disturbance_onset_s,int32,s,audit_only,0,exclude: future/scenario leakage,Скрытый момент начала возмущения.
disturbance_active_true,int8,0/1,audit_only,0,exclude: unavailable to operator,Истинный флаг активности возмущения.
disturbance_severity_true,float32,0..1,audit_only,0,exclude: latent state leakage,Истинная интенсивность возмущения цифрового двойника.
sensor_delay_s,float32,s,context_feature,0,divide by configured maximum,Задержка отображаемых измерений.
nuisance_alarm_rate_min,float32,alarms/min,context_feature,0,log1p then StandardScaler on train,Интенсивность второстепенных тревог.
reaction_deadline_s,float32,s,context_feature,0,divide reaction times by this value,Допустимое время до начала корректного защитного действия.
hints_enabled,int8,0/1,context_feature,0,unchanged,Доступны ли оператору учебные подсказки.
branch_1_flow_tph,float32,t/h,raw_feature,0,prefer branch flow ratio or StandardScaler on train,Отображаемый расход сырой нефти по ветви №1.
branch_1_flow_ratio,float32,ratio,derived_feature,0,divide by nominal branch flow,Расход ветви №1 относительно номинала 100 т/ч.
branch_1_pressure_bar,float32,bar,raw_feature,0,divide by nominal pressure or StandardScaler on train,Давление сырья по ветви №1.
branch_1_valve_command_pct,float32,%,raw_feature,0,divide by 100,Командное положение регулирующего органа ветви №1.
branch_1_valve_actual_pct,float32,%,raw_feature,0,divide by 100,Фактическое положение регулирующего органа ветви №1.
